3.15,1748.26
3.16,1744.01
3.17,1739.78
3.18,1735.58
3.19,1731.39
3.2,1727.23
3.21,1723.09
3.22,1718.97
3.23,1714.88
3.24,1710.8
3.25,1706.75
3.26,1702.71
3.27,1698.7
3.28,1694.71
3.29,1690.74
3.3,1686.78
3.31,1682.85
3.32,1678.94
3.33,1675.04
3.34,1671.17
3.35,1667.32
3.36,1663.48
3.37,1659.67
3.38,1655.87
3.39,1652.09
3.4,1648.33
3.41,1644.59
3.42,1640.86
3.43,1637.16
3.44,1633.47
3.45,1629.8
3.46,1626.14
3.47,1622.51
3.48,1618.89
3.49,1615.29
3.5,1611.71
3.51,1608.14
3.52,1604.59
3.53,1601.05
3.54,1597.54
3.55,1594.04
3.56,1590.55
3.57,1587.08
3.58,1583.63
3.59,1580.19
3.6,1576.77
3.61,1573.37
3.62,1569.98
3.63,1566.6
3.64,1563.24
3.65,1559.9
3.66,1556.57
3.67,1553.25
3.68,1549.95
3.69,1546.66
3.7,1543.39
3.71,1540.14
3.72,1536.89
3.73,1533.67
3.74,1530.45
3.75,1527.25
3.76,1524.07
3.77,1520.89
3.78,1517.73
3.79,1514.59
3.8,1511.46
3.81,1508.34
3.82,1505.23
3.83,1502.14
3.84,1499.06
3.85,1496
3.86,1492.94
3.87,1489.9
3.88,1486.87
3.89,1483.86
3.9,1480.86
3.91,1477.87
3.92,1474.89
3.93,1471.92
3.94,1468.97
3.95,1466.03
3.96,1463.1
3.97,1460.18
3.98,1457.27
3.99,1454.38
4,1451.5
4.01,1448.62
4.02,1445.76
4.03,1442.92
4.04,1440.08
4.05,1437.25
4.06,1434.44
4.07,1431.63
4.08,1428.84
4.09,1426.06
4.1,1423.29
4.11,1420.53
4.12,1417.78
4.13,1415.04
4.14,1412.31
4.15,1409.6
4.16,1406.89
4.17,1404.19
4.18,1401.5
4.19,1398.83
4.2,1396.16
4.21,1393.5
4.22,1390.86
4.23,1388.22
4.24,1385.6
4.25,1382.98
4.26,1380.37
4.27,1377.77
4.28,1375.19
4.29,1372.61
4.3,1370.04
4.31,1367.48
